obs,personid,psu,hhld,id,sex,age,marital,ctzship,current_school,grade_comp,subject_training,need_train_more,mwrk_nsco1,mwrk_nsco4,mwrk_status,mwrk_cnrt_type,mwrk_nsic1,mwrk_nsic4,mwrk_orgtype,mwrk_enttype,mwrk_empnum,mwrk_tenure_envlv,usulhr_mwrk,prd_remu,amt_cashrs,rcvd_kind,faci_mktval,faci_paidval,hhsize,province,urbrur753,season,male,nevermarried,urban,educ,educ1,wage_daily,logwage_daily,avg_exp,avg_exp1,sq_avg_exp
1,11360503,1136,5,3,Male,13,Never married,Nepalese,No,Class 1,,,J,Livestock farm labourers,Employee,Temporary,A,Raising of cattle and buffaloes,,Private business,2-4 persons,1 year - 3 years,42,Monthly,750,No,25000,,3,1,Rural,Rainy Season,1,1,0,1,1.5,24.657534,3.2050824,1,1.5,2.25
2,18902008,1890,20,8,Male,22,Never married,Nepalese,Yes,Class 10,"Dressmaking, tailoring",Yes,G,Tree and shrub crop growers,Employee,Temporary,A," Growing of vegetables and melons, roots and tubers",,Private business,1 person,Less than 6 months,36,Monthly,1200,No,,,13,7,Rural,Winter Season,1,1,0,10,10.5,39.452053,3.675086,0,0.5,0.25
3,10280402,1028,4,2,Male,19,Never married,Nepalese,No,Class 8,,No,J," Cleaners and helpers in offices, hotels and other establish",Employee,Temporary,P,General secondary education,Private nonfinancial institution,An incorporated company,,1 year - 3 years,18,Monthly,1500,No,,,2,1,Rural,Winter Season,1,1,0,8,8.5,49.315067,3.8982296,1,1.5,2.25
4,10280401,1028,4,1,Female,40,Single woman/man,Nepalese,No,Nursery/LKG/UKG,,No,J," Cleaners and helpers in offices, hotels and other establish",Employee,Temporary,P,General secondary education,Private nonfinancial institution,An incorporated company,,10 years or more,18,Monthly,1500,No,,,2,1,Rural,Winter Season,0,0,0,0,0.5,49.315067,3.8982296,10,10.5,110.25
5,11151605,1115,16,5,Male,12,Never married,Nepalese,No,Class 3,,,J," Cleaners and helpers in offices, hotels and other establish",Employee,Temporary,I,Other accommodation,Other,Private business,2-4 persons,Less than 6 months,42,Monthly,1500,No,8000,,5,1,Rural,Dry Season,1,1,0,3,3.5,49.315067,3.8982296,0,0.5,0.25
6,13921903,1392,19,3,Male,62,Married,Nepalese,,Class 1,Plumbing,Yes,H,Plumbers and pipe fitters,Employee,Temporary,F," Plumbing, heat and air-conditioning installation",,Private business,1 person,10 years or more,42,Monthly,1600,No,,,8,3,Rural,Winter Season,1,0,0,1,1.5,52.602741,3.9627683,10,10.5,110.25
7,15641401,1564,14,1,Male,43,Married,Nepalese,,Class 7,,Yes,E,Client information workers not elsewhere classified,Employee,Temporary,D," Electric power generation, transmission and distribution",,Private business,1 person,10 years or more,10,Monthly,1600,No,,,7,5,Rural,Dry Season,1,0,0,7,7.5,52.602741,3.9627683,10,10.5,110.25
8,15631703,1563,17,3,Male,16,Never married,Nepalese,No,Class 6,,No,F,Transport conductors,Employee,Temporary,F,Construction of roads and railways,,Private business,2-4 persons,Less than 6 months,35,Monthly,1800,No,,,6,5,Rural,Dry Season,1,1,0,6,6.5,59.178082,4.0805511,0,0.5,0.25
9,15471906,1547,19,6,Male,18,Never married,Nepalese,No,Class 4,Driving skills and motor vehicle operation,No,F,Transport conductors,Employee,Temporary,H,Other passenger land transpor t,,Private business,1 person,6 months - 1 year,56,Monthly,2000,No,,,9,5,Urban,Dry Season,1,1,1,4,4.5,65.753426,4.1859117,0.5,1,1
10,10181704,1018,17,4,Female,27,Married,Nepalese,No,Class 4,,Yes,J,Domestic cleaners and helpers,Employee,Temporary,T,Activities of households as employers of domestic personnel,,Private business,1 person,3 years - 5 years,49,Monthly,2000,Yes,,,7,1,Urban,Rainy Season,0,0,1,4,4.5,65.753426,4.1859117,3,3.5,12.25
